Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:49.3,Foul: Personal,Evan Fournier,Danny Green,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2307,"MOB and LLS show Fournier (ORL) cleanly dislodges the ball from Green (TOR), any additional contact to the arm is deemed incidental.",0041800111
Q4,01:45.8,Foul: Shooting,Danny Green,Evan Fournier,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2308,Green (TOR) makes incidental contact to Fournier (ORL) body during his follow through.,0041800111
Q4,01:25.2,Foul: Offensive,Nikola Vucevic,Danny Green,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2309,Vucevic (ORL) establishes himself in a screening position in the path of Green (TOR) and gives him room to avoid the contact.,0041800111
Q4,01:22.3,Foul: Personal,Kawhi Leonard,Aaron Gordon,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2310,Leonard (TOR) maintains a legal guarding position on Gordon (ORL) at the start of the drive when Gordon slips but is able to regain his balance.,0041800111
Q4,01:20.2,Foul: Defense 3 Second,Pascal Siakam,Magic,INC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2311,Siakam (TOR) is in the paint without actively guarding an opponent for longer than three seconds.,0041800111
Q4,01:18.4,Turnover: 3 Second Violation,Nikola Vucevic,Raptors,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2312,Vucevic (ORL) could be deemed to be in the lane for less than three seconds when the shot is imminent.,0041800111
Q4,01:16.8,Foul: Loose Ball,Marc Gasol,Evan Fournier,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2313,Gasol (TOR) and Fournier (ORL) engage and separate during the rebound.,0041800111
Q4,01:06,Foul: Personal,Aaron Gordon,Kawhi Leonard,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2314,Gordon (ORL) maintains a legal guarding position and absorbs the contact from Leonard (TOR) during the drive.,0041800111
Q4,01:02.0,Foul: Offensive,Evan Fournier,Pascal Siakam,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2315,Fournier (ORL) briefly grasps Siakam's (TOR) jersey as they engage on the screen.,0041800111
Q4,01:02.0,Foul: Offensive,Nikola Vucevic,Pascal Siakam,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2315,Vucevic (ORL) establishes himself in a screening position in the path of Siakam (TOR) and firms up to absorb the contact.,0041800111
Q4,00:56.5,Foul: Loose Ball,Danny Green,Aaron Gordon,CC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2316,LAR and MOB show Green (TOR) makes contact to Gordon's (ORL) arm during the rebound.,0041800111
Q4,00:53.4,Foul: Offensive,Nikola Vucevic,Danny Green,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2317,Vucevic (ORL) establishes himself in a screening position in the path of Green (TOR) and gives him room to avoid the contact.,0041800111
Q4,00:49,Foul: Personal,Danny Green,D.J. Augustin,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2318,Green (TOR) briefly places a hand/arm to the front of Augustin (ORL) at the start of the drive.,0041800111
Q4,00:46.1,Foul: Shooting,Kyle Lowry,D.J. Augustin,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2319,Lowry (TOR) makes marginal contact to the body of Augustin (ORL) during his drive to the basket and shot attempt.,0041800111
Q4,00:32.0,Foul: Offensive,Kyle Lowry,Aaron Gordon,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2320,Lowry (TOR) is firming up and makes marginal contact with Gordon (ORL) on the pick.,0041800111
Q4,00:26.6,Foul: Loose Ball,Evan Fournier,Pascal Siakam,INC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2321,RLS and RLB show Fournier (ORL) clamps Siakam's (TOR) arm during the rebound.,0041800111
Q4,00:06.6,Foul: Offensive,Nikola Vucevic,Kawhi Leonard,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2322,Vucevic (ORL) establishes himself in a screening position in the path of Leonard (TOR) and gives him room to avoid the contact.,0041800111
Q4,00:03.4,Foul: Personal,Evan Fournier,Danny Green,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2323,Fournier (ORL) and Green (TOR) engage and separate before using the screen from Gasol (TOR).,0041800111
Q4,00:03.4,Foul: Offensive,Marc Gasol,Aaron Gordon,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2324,Gasol (TOR) establishes himself in a screening position in the path of Gordon (ORL) and firms up to absorb the contact.,0041800111
Q4,00:03.4,Foul: Offensive,Marc Gasol,Evan Fournier,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2323,Gasol (TOR) establishes himself in a screening position in the path of Fournier (ORL) and gives him room to avoid the contact.,0041800111
Q4,00:00.5,Foul: Personal,Danny Green,D.J. Augustin,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800111&eventNum=2325,Green (TOR) and Augustin (ORL) engage and separate during the inbound.,0041800111
Q4,01:47,Foul: Offensive,Nikola Jokic,DeMar DeRozan,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2241,Jokic (DEN) establishes himself in a screening position in the path of DeRozan (SAS) and gives him room to avoid the contact.,0041800151
Q4,01:42.1,Foul: Offensive,Nikola Jokic,Derrick White,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2242,Jokic (DEN) establishes himself in a screening position in the path of White (SAS) and gives him room to avoid the contact.,0041800151
Q4,01:40.7,Foul: Shooting,Derrick White,Jamal Murray,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2243,White (SAS) places a resting hand to Murray's (DEN) back during his driving shot attempt but the contact is tactile and he does not apply any force.,0041800151
Q4,01:38.5,Foul: Personal,Bryn Forbes,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2244,RLB shows Forbes (SAS) makes marginal contact to Jokic's (DEN) arm after he secures the rebound.,0041800151
Q4,01:36.4,Turnover: 5 Second Violation,Nuggets,Spurs,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2245,The Nuggets inbound the ball within the legally allowed five seconds.,0041800151
Q4,01:35.1,Foul: Personal,Derrick White,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2246,White (SAS) briefly places a hand around Jokic's (DEN) waist when he engages on the pick.,0041800151
Q4,01:22.1,Foul: Personal,Nikola Jokic,Bryn Forbes,INC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2247,Jokic (DEN) dislodges Forbes (SAS) as he disengages from the screen.,0041800151
Q4,01:22.1,Foul: Offensive,Bryn Forbes,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2247,Forbes (SAS) establishes himself in a screening position in the path of Jokic (DEN) and gives him room to avoid the contact.,0041800151
Q4,01:17.3,Foul: Personal,Jamal Murray,Derrick White,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2248,LAR and LLB show Murray (DEN) maintains a legal guarding position on White (SAS) during the drive and cleanly dislodges the ball.,0041800151
Q4,01:11.2,Foul: Loose Ball,Gary Harris,Derrick White,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041800151&eventNum=2249,"After the clean steal, Harris (DEN) makes incidental contact to White (SAS) as they go to the floor to retrieve the loose ball.",0041800151
