Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:58.1,Foul: Defense 3 Second,Donovan Mitchell,Nuggets,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2189,Mitchell (UTA) is in the paint for less than three seconds when he is imminently exiting.,0041900161
Q4,01:57.4,Foul: Shooting,Rudy Gobert,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2190,Gobert (UTA) maintains a legal guarding position during the driving shot attempt by Jokic (DEN) and cleanly blocks the shot.,0041900161
Q4,01:56.5,Foul: Loose Ball,Jordan Clarkson,Jerami Grant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2191,Clarkson (UTA) and Grant (DEN) make marginal contact as they engage and disengage during the rebound.,0041900161
Q4,01:55,Foul: Personal,Nikola Jokic,Rudy Gobert,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2192,"Jokic (DEN) swipes down and makes contact with the ball, any additional contact to Gobert's (UTA) arm is deemed incidental.",0041900161
Q4,01:46.9,Turnover: 8 Second Violation,Jazz,Nuggets,CC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2193,The Jazz fail to bring the ball past half court within 8 seconds.,0041900161
Q4,01:46.8,Turnover: Backcourt Turnover,Nuggets,Jazz,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2194,Murray (DEN) bobbles the pass and gains control of the ball in the backcourt.,0041900161
Q4,01:34.2,Foul: Offensive,Royce O'Neale,Jerami Grant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2195,O'Neale (UTA) establishes himself in a screening position in Grant's (DEN) path and gives him room to avoid the contact.,0041900161
Q4,01:32.2,Foul: Shooting,Michael Porter Jr.,Donovan Mitchell,CC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2196,Porter (DEN) makes contact to Mitchell's (UTA) arm after he has gathered with a hand underneath the ball during his shot attempt.,0041900161
Q4,01:27.4,Foul: Shooting,Joe Ingles,Jamal Murray,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2197,"Ingles (UTA) makes incidental ""high-five"" contact with Murray (DEN) after the release that does not affect his jump shot attempt.",0041900161
Q4,01:17.8,Foul: Offensive,Royce O'Neale,Jerami Grant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2198,O'Neale (UTA) establishes himself in a screening position in Grant's (DEN) path and gives him room to avoid the contact.,0041900161
Q4,01:16.4,Foul: Personal,Monte Morris,Rudy Gobert,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2199,Morris (DEN) and Gobert (UTA) engage and separate on his roll to the basket.,0041900161
Q4,01:05.3,Foul: Offensive,Nikola Jokic,Joe Ingles,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2200,Jokic (DEN) establishes himself in a screening position in Ingles' (UTA) path and gives him room to avoid the contact.,0041900161
Q4,01:02.3,Foul: Shooting,Joe Ingles,Jamal Murray,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2201,Ingles (UTA) makes marginal contact to Murray's (DEN) body after the release of his jump shot.,0041900161
Q4,01:00.8,Stoppage: Out-of-Bounds,Nuggets,Jazz, ,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2202,"After the made basket, there is an inadvertent whistle that briefly suspends play. 
",0041900161
Q4,00:51.0,Foul: Shooting,Jamal Murray,Donovan Mitchell,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2203,Murray (DEN) maintains a legal guarding position during the jump shot attempt by Mitchell (UTA).,0041900161
Q4,00:37.7,Foul: Personal,Joe Ingles,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2204,Ingles (UTA) immediately slides his hand off of Jokic's (DEN) waist as he comes around the pick and the contact does not affect Jokic's FOM.,0041900161
Q4,00:35.5,Foul: Offensive,Torrey Craig,Jordan Clarkson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2205,Craig (DEN) and Clarkson (UTA) make marginal contact as they engage and disengage off-ball.,0041900161
Q4,00:32,Foul: Offensive,Jamal Murray,Joe Ingles,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2206,Murray (DEN) releases from the contact with Ingles (UTA) as they separate at the end of his drive.,0041900161
Q4,00:31.5,Foul: Offensive,Nikola Jokic,Joe Ingles,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2207,Jokic (DEN) establishes himself in a screening position in Ingles' (UTA) path and gives him room to avoid the contact.,0041900161
Q4,00:28.3,Foul: Loose Ball,Jordan Clarkson,Torrey Craig,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2208,Clarkson (UTA) and Craig (DEN) engage and disengage during the rebound.,0041900161
Q4,00:28.3,Foul: Loose Ball,Royce O'Neale,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2208,"During the rebound,  O'Neale (UTA) makes incidental body contact with Jokic (DEN) as he goes for the loose ball.",0041900161
Q4,00:26.5,Foul: Shooting,Rudy Gobert,Nikola Jokic,CC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2209,Gobert (UTA) makes contact to Jokic's (DEN) arm during his shooting motion that affects his play at the basket.,0041900161
Q4,00:26.5,Foul: Shooting,Torrey Craig,Donovan Mitchell,CC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2209,"Due to a technical issue, this play is showing an incorrect timestamp and the whistle occurs with 22.1 seconds remaining in the 4th Quarter. Craig (DEN) makes contact to Mitchell's (UTA) arm during his shooting motion that affects his driving shot attempt.",0041900161
Q4,00:05.5,Foul: Offensive,Nikola Jokic,Joe Ingles,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2210,Jokic (DEN) establishes himself in a screening position in Ingles' (UTA) path and gives him room to avoid the contact.,0041900161
Q4,00:01.7,Foul: Shooting,Rudy Gobert,Nikola Jokic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0041900161&eventNum=2211,"Gobert (UTA) makes marginal contact to Jokic's (DEN) body during his drive to the basket and shot attempt, any additional contact to his arm after the release is deemed incidental.",0041900161
