Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:59.4,Foul: Offensive,Naz Reid,Paul George,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2323,Reid (MIN) establishes himself in a screening position in George's (LAC) path and absorbs the contact during the pick.,0052100121
Q4,01:49.5,Foul: Shooting,Patrick Beverley,Reggie Jackson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2324,Beverley (MIN) legally contests Jackson's (LAC) jump shot attempt.,0052100121
Q4,01:44,Foul: Personal,Nicolas Batum,D'Angelo Russell,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2325,"After Russell (MIN) cleanly intercepts the pass, Batum (LAC) establishes himself in Russell's path and incidental contact occurs as they come together.  Batum reaches in after absorbing the contact and makes clean contact with the ball, but does not dislodge it from Russell's possession.",0052100121
Q4,01:35.9,Foul: Offensive,Anthony Edwards,Reggie Jackson,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2327,"During the throw-in, Edwards (MIN) moves through Jackson's (LAC) legally obtained space and dislodges him from his defensive position.",0052100121
Q4,01:35.9,Foul: Loose Ball,Patrick Beverley,Reggie Jackson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2326,"After Jackson (LAC) deflects the rebound, marginal contact occurs when he and Beverley (MIN) come together.  Jackson then makes contact with his teammate Morris Sr. (LAC), causing him to lose his balance.",0052100121
Q4,01:35.9,Stoppage: Out-of-Bounds,Reggie Jackson,Anthony Edwards,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2326,Jackson (LAC) deflects the loose ball out of bounds. Possession is correctly awarded to the Timberwolves. ,0052100121
Q4,01:29.5,Foul: Offensive,Ivica Zubac,Patrick Beverley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2328,Zubac (LAC) establishes himself in a screening position in Beverley's (MIN) path and absorbs the marginal contact during the screen.,0052100121
Q4,01:26.8,Foul: Defense 3 Second,D'Angelo Russell,Clippers,INC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2329,Russell (MIN) is in the paint for longer than three seconds without imminently actively guarding an opponent.,0052100121
Q4,01:13,Foul: Offensive,D'Angelo Russell,Paul George,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2330,Russell (MIN) moves alongside George (LAC) while resting a hand to his front and marginal contact occurs as he releases from the contact.,0052100121
Q4,01:12.1,Foul: Shooting,Paul George,D'Angelo Russell,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2331,George (LAC) legally contests Russell's (MIN) jump shot attempt.,0052100121
Q4,01:09.9,Foul: Loose Ball,Paul George,Patrick Beverley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2332,"Beverley (MIN) comes together with George (LAC) and incidental foot to foot contact occurs, which causes Beverley to lose his balance during the rebound. He then makes incidental contact with Morris Sr. (LAC) and his teammate Reid (MIN) as they also lose their balance.",0052100121
Q4,01:06.1,Foul: Personal,D'Angelo Russell,Paul George,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2333,Russell (MIN) commits a take foul on George (LAC).,0052100121
Q4,01:00.0,Foul: Shooting,Jaden McDaniels,Reggie Jackson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2334,McDaniels (MIN) jumps alongside of Jackson (LAC) and marginal contact occurs when he momentarily rests a hand on his body during the driving shot attempt. Vanderbilt (MIN) swipes down as he contests the shot but avoids making contact with Jackson.,0052100121
Q4,00:59.3,Foul: Loose Ball,Jarred Vanderbilt,Ivica Zubac,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2335,Vanderbilt (MIN) cleanly deflects the rebound away from Zubac (LAC). ,0052100121
Q4,00:38.4,Foul: Shooting,Ivica Zubac,Anthony Edwards,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2336,"Zubac (LAC) brings his arm down and makes contact with Edwards' (MIN) arm, which affects his driving shot attempt.",0052100121
Q4,00:36.7,Foul: Shooting,Jarred Vanderbilt,Paul George,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2337,Vanderbilt (MIN) legally contests George's (LAC) jump shot attempt and any contact after the release is deemed marginal.,0052100121
Q4,00:34.5,Foul: Loose Ball,Reggie Jackson,Jaden McDaniels,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2338,Jackson (LAC) and McDaniels (MIN) mutually engage and disengage during the rebound.,0052100121
Q4,00:32.2,Foul: Personal,Marcus Morris Sr.,Patrick Beverley,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2339,Morris Sr. (LAC) commits a take foul on Beverley (MIN).,0052100121
Q4,00:25.5,Foul: Personal,Patrick Beverley,Reggie Jackson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2340,Beverley (MIN) makes clean ball contact to dislodge it from Jackson (LAC) during the drive. Any follow-through contact after the ball is dislodged is deemed incidental. ,0052100121
Q4,00:21.5,Foul: Personal,Ivica Zubac,Anthony Edwards,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2341,Zubac (LAC) commits a take foul on Edwards (MIN).,0052100121
Q4,00:18.6,Foul: Personal,Jaden McDaniels,Paul George,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2342,McDaniels (MIN) grazes George's (LAC) shoulder as he loses control of his dribble and the contact is marginal.,0052100121
Q4,00:12.5,Foul: Offensive,Jaden McDaniels,Reggie Jackson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2343,McDaniels (MIN) establishes himself in a screening position in Jackson's (LAC) path and absorbs the contact during the screen. ,0052100121
Q4,00:06.4,Foul: Personal,Nicolas Batum,Malik Beasley,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2344,Batum (LAC) commits a take foul on Beasley (MIN).,0052100121
Q4,00:06.4,Violation: Delay of Game,Timberwolves,Clippers,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2344,A delay of game violation is correctly whistled on the Timberwolves.,0052100121
Q4,00:05.7,Foul: Loose Ball,Anthony Edwards,Robert Covington,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100121&eventNum=2345,Edwards (MIN) makes clean ball contact with the ball during the rebound.,0052100121
Q4,01:53.0,Turnover: 8 Second Violation,Trae Young,Cavaliers,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2202,Young (ATL) crosses half-court within eight seconds.,0052100201
Q4,01:42.5,Foul: Personal,Darius Garland,Trae Young,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2203,Garland (CLE) brings his hand toward Young's (ATL) path and marginal contact occurs with Young's front as he crosses over at the top of the perimeter.,0052100201
Q4,01:37.7,Foul: Loose Ball,Onyeka Okongwu,Lauri Markkanen,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2204,Okongwu (ATL) and Markkanen (CLE) each make clean contact with the ball as simultaneous incidental arm contact occurs during rebounding.,0052100201
Q4,01:27.3,Foul: Shooting,De'Andre Hunter,Evan Mobley,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2205,Hunter (ATL) initiates contact across Mobley's (CLE) right arm during his upward shooting motion.,0052100201
Q4,01:11.5,Foul: Personal,Lauri Markkanen,Trae Young,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2206,Markkanen (CLE) extends slightly toward Young's (ATL) path and marginal body contact occurs with Young's side during the drive.,0052100201
Q4,00:59.3,Foul: Personal,Kevin Huerter,Darius Garland,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2207,Huerter (ATL) brings his left hand toward Garland's (CLE) path and marginal contact occurs with Garland's side/arm at the end of the drive.,0052100201
Q4,00:55.3,Foul: Personal,Onyeka Okongwu,Jarrett Allen,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2208,Okongwu (ATL) and Allen (CLE) make incidental foot-to-foot contact with one another as Allen cuts through the lane.,0052100201
Q4,00:53.5,Foul: Loose Ball,Onyeka Okongwu,Evan Mobley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2209,Okongwu (ATL) extends his right arm to defend the alley-oop attempt and incidental contact occurs with Mobley's (CLE) right forearm after the errant pass is broken up by the rim.,0052100201
Q4,00:51.3,Foul: Loose Ball,Caris LeVert,Onyeka Okongwu,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2210,LeVert (CLE) initiates contact across Okongwu's (ATL) left arm as he secures the loose ball.,0052100201
Q4,00:35.2,Foul: Personal,Darius Garland,Danilo Gallinari,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2211,Garland (CLE) brings his right arm toward Gallinari's (ATL) path and marginal contact occurs with Gallinari's front during the drive.,0052100201
Q4,00:31.7,Foul: Personal,Evan Mobley,Danilo Gallinari,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2212,Mobley (CLE) is moving slightly forward toward Gallinari (ATL) and marginal body contact occurs as Gallinari is passing.,0052100201
Q4,00:31.2,Foul: Personal,Lauri Markkanen,Onyeka Okongwu,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2213,Markkanen (CLE) makes clean contact with the ball and intercepts the pass intended for Okongwu (ATL).,0052100201
Q4,00:28.8,Foul: Personal,Kevin Huerter,Darius Garland,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2214,Huerter (ATL) makes clean contact with the ball and dislodges it away from Garland (CLE) along the sideline.,0052100201
Q4,00:28.0,Turnover: Out of Bounds,Kevin Huerter,Cavaliers,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2215,Huerter (ATL) avoids stepping out of bounds after stealing the pass.,0052100201
Q4,00:23.8,Foul: Personal,Evan Mobley,Trae Young,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2216,Mobley (CLE) commits a take foul on Young (ATL).,0052100201
Q4,00:22.5,Foul: Shooting,Kevin Huerter,Darius Garland,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2217,Hueter (ATL) legally contests Garland's (CLE) jump shot attempt.,0052100201
Q4,00:20.2,Foul: Loose Ball,Kevin Huerter,Evan Mobley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2218,Huerter (ATL) brushes Mobley's (CLE) right wrist and marginal contact occurs as Mobley retrieves the rebound.,0052100201
Q4,00:18.4,Foul: Shooting,Onyeka Okongwu,Evan Mobley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2219,Okongwu (ATL) establishes verticality and absorbs the body contact as Mobley (CLE) jumps toward Okongwu during his upward shooting motion.,0052100201
Q4,00:17.7,Foul: Loose Ball,Timothe Luwawu-Cabarrot,Evan Mobley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2220,Luwawu-Cabarrot (ATL) brings his left forearm toward Mobley's (CLE) front and marginal contact occurs as they each elevate for the rebound. Okongwu (ATL) and Mobley then make incidental arm contact with one another as they each extend an arm in pursuit of the loose ball.,0052100201
Q4,00:13.7,Foul: Personal,Evan Mobley,Timothe Luwawu-Cabarrot,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2221,Mobley (CLE) commits a take foul on Luwawu-Cabarrot (ATL).,0052100201
Q4,00:11.6,Foul: Offensive,Trae Young,Caris LeVert,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2222,Young (ATL) and LeVert (CLE) engage and disengage with one another during the inbound.,0052100201
Q4,00:11.6,Foul: Offensive,Kevin Huerter,Caris LeVert,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2222,Huerter (ATL) engages and disengages with LeVert (CLE) during the inbound.,0052100201
Q4,00:10.5,Foul: Personal,Caris LeVert,Trae Young,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2224,LeVert (CLE) commits a take foul on Young (ATL). The contact occurs prior to Young's gather and upward shooting motion.,0052100201
Q4,00:10.5,Foul: Personal,Bogdan Bogdanovic,Evan Mobley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2223,Bogdanovic (ATL) brings his left forearm toward Mobley's (CLE) back and marginal contact occurs as Mobley mishandles the inbound pass.,0052100201
Q4,00:07.3,Foul: Shooting,Bogdan Bogdanovic,Evan Mobley,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2225,Bogdanovic (ATL) legally contests Mobley's (CLE) jump shot attempt.,0052100201
Q4,00:04.2,Foul: Personal,Lauri Markkanen,Trae Young,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100201&eventNum=2226,Markkanen (CLE) attempts to commit a take foul on Young (ATL) and the contact is marginal.,0052100201
Q4,01:56.6,Foul: Personal,Herbert Jones,Nicolas Batum,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2500,Jones (NOP) moves laterally into Batum's (LAC) path at the start of his drive and marginal contact occurs. ,0052100211
Q4,01:52.1,Foul: Shooting,CJ McCollum,Norman Powell,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2501,McCollum (NOP) jumps towards Powell (LAC) and makes marginal contact to his arm after the release of his jump shot attempt.,0052100211
Q4,01:42,Foul: Offensive,CJ McCollum,Norman Powell,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2502,McCollum (NOP) grasps Powell's (LAC) jersey as he deflects the ball away.,0052100211
Q4,01:41,Foul: Personal,Norman Powell,CJ McCollum,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2502,Powell (LAC) reaches around McCollum (NOP) and dislodges the ball from him before incidental contact occurs. ,0052100211
Q4,01:39.9,Stoppage: Out-of-Bounds,Norman Powell,CJ McCollum,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2503,Powell (LAC) is the last person to touch the ball before it goes out of bounds. The possession is correctly awarded to NOP.,0052100211
Q4,01:31.2,Foul: Defense 3 Second,Marcus Morris Sr.,Pelicans,INC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2504,Morris Sr. (LAC) fails to fully clear the lane and is in the paint for longer than three seconds without imminently actively guarding an opponent.,0052100211
Q4,01:30.4,Foul: Shooting,Marcus Morris Sr.,Trey Murphy III,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2505,Morris Sr. (LAC) places his forearm against Murphy III's (NOP) body after his gather and marginal contact occurs. ,0052100211
Q4,01:29.5,Foul: Loose Ball,Reggie Jackson,Trey Murphy III,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2506,Jackson (LAC) places his arm against Murphy III's (NOP) body underneath the rim and marginal contact occurs as they pursue the loose ball.,0052100211
Q4,01:20,Foul: Personal,Herbert Jones,Marcus Morris Sr.,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2507,Jones (NOP) maintains legal guarding position moving along Morris Sr.'s (LAC) path and marginal contact occurs defending his drive to the basket. ,0052100211
Q4,01:18.5,Foul: Shooting,Herbert Jones,Robert Covington,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2508,Jones (NOP) makes marginal contact to Covington's (LAC) lower body contesting his shot attempt at the basket. ,0052100211
Q4,01:07.9,Foul: Offensive,Brandon Ingram,Nicolas Batum,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2509,Ingram (NOP) comes to a stop after the pick and slightly extends his arm against Batum's (LAC) body as he releases away from the contact. ,0052100211
Q4,01:00.7,Foul: Personal,Nicolas Batum,Herbert Jones,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2510,Replay review of the foul called on Batum (LAC) pursuant to a coach?s challenge was deemed unsuccessful. Batum (LAC) extends his hand against Jones' (NOP) body and the contact dislodge him from his obtain position.,0052100211
Q4,00:45,Foul: Personal,Norman Powell,CJ McCollum,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2511,Powell (LAC) makes contact with the ball during McCollum's (NOP) drive and cleanly dislodges the ball before incidental contact occurs. ,0052100211
Q4,00:38.7,Foul: Shooting,Nicolas Batum,Trey Murphy III,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052100211&eventNum=2512,Batum (LAC) makes marginal contact with Murphy III's (NOP) hand after the release of his jump shot attempt.,0052100211
