Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:58.0,Foul: Shooting,JJ Redick,Dwyane Wade,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1108,Redick (PHI) makes marginal contact to the body of Wade (MIA) during his shooting motion that does not affect his driving shot attempt.,0021800868
Q4,01:45.6,Foul: Personal,Dion Waiters,Jimmy Butler,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1109,Waiters (MIA) briefly engages with Butler (PHI) but does not affect his FOM.,0021800868
Q4,01:43.0,Turnover: Traveling,Ben Simmons, ,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1110,B. Simmons (PHI) maintains his pivot foot on the perimeter.,0021800868
Q4,01:40.5,Foul: Offensive,Boban Marjanovic,Dion Waiters,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1111,Marjanovic (PHI) makes marginal contact with Waiters (MIA) as he disengages from the pick.,0021800868
Q4,01:36.2,Foul: Shooting,Justise Winslow,Boban Marjanovic,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1112,Winslow (MIA) makes contact to the arm of Marjanovic (PHI) during his shooting motion that affects his play at the basket.,0021800868
Q4,01:24.9,Foul: Shooting,JJ Redick,Dwyane Wade,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1113,Redick (PHI) legally contests the jump shot attempt by Wade (MIA).,0021800868
Q4,01:11.3,Foul: Offensive,Boban Marjanovic,Dion Waiters,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1114,Marjanovic (PHI) makes marginal contact with Waiters (MIA) as he disengages from the pick.,0021800868
Q4,00:58.5,Foul: Offensive,Dwyane Wade,JJ Redick,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1115,Wade (MIA) slips the contact and does not dislodge Redick (PHI) from his legally obtained position when he releases the pass.,0021800868
Q4,00:38.3,Foul: Shooting,Justise Winslow,Boban Marjanovic,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1116,Winslow (MIA) makes contact to the arm of Marjanovic (PHI) during his shooting motion that affects his play at the basket.,0021800868
Q4,00:35.0,Foul: Personal,Jimmy Butler,Dwyane Wade,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1117,Butler (PHI) and Wade (MIA) make incidental contact off ball.,0021800868
Q4,00:33.0,Foul: Personal,Tobias Harris,Josh Richardson,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1118,Harris (PHI) places two hands around Richardson (MIA) during his drive.,0021800868
Q4,00:25.2,Turnover: 8 Second Violation,Tobias Harris,Heat,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1119,Harris (PHI) establishes possession of the ball in the frontcourt before eight seconds elapses.,0021800868
Q4,00:10.2,Foul: Personal,Dion Waiters,Jonathon Simmons,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1120,Waiters (MIA) commits a take foul on J. Simmons (PHI).,0021800868
Q4,00:10.1,Foul: Offensive,Kelly Olynyk,Jonathon Simmons,INC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1121,Olynyk (MIA) engages with J. Simmons (PHI) during the inbound and prevents him from disengaging.,0021800868
Q4,00:08.1,Foul: Shooting,Jonathon Simmons,Dion Waiters,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1122,J. Simmons (PHI) legally contests the jump shot attempt by Waiters (MIA).,0021800868
Q4,00:05.5,Foul: Personal,Justise Winslow,Tobias Harris,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1123,Winslow (MIA) commits a take foul on Harris (PHI).,0021800868
Q4,00:02.0,Foul: Personal,Ben Simmons,Dion Waiters,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1124,B. Simmons (PHI) cleanly dislodges the ball from Waiters (MIA) in transition.,0021800868
Q4,00:00.2,Foul: Shooting,Jimmy Butler,Dion Waiters,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800868&eventNum=1125,Butler (PHI) legally contests the jump shot attempt by Waiters (MIA).,0021800868
Q4,01:52,Foul: Offensive,Giannis Antetokounmpo,Jayson Tatum,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1141,Antetokounmpo (MIL) is already in Tatum's (BOS) path when contact occurs and he does not deliver any additional contact.,0021800870
Q4,01:42.8,Foul: Offensive,Al Horford,Eric Bledsoe,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1142,Horford (BOS) is in Bledsoe's (MIL) path in a screening position and he does not deliver the contact.,0021800870
Q4,01:41,Foul: Personal,Eric Bledsoe,Kyrie Irving,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1143,LAR shows Irving (BOS) loses control of the ball on his own and not as a result of any contact from Bledsoe (MIL).,0021800870
Q4,01:38.2,Foul: Shooting,Eric Bledsoe,Kyrie Irving,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1144,Bledsoe (MIL) legally contests Irving's (BOS) shot near the rim.,0021800870
Q4,01:27.6,Foul: Shooting,Marcus Morris,Eric Bledsoe,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1145,There is no clear and conclusive video evidence that shows if Morris (BOS) makes contact to Bledsoe's (MIL) arm when he contests the shot attempt.,0021800870
Q4,01:20.0,Foul: Offensive,Al Horford,Eric Bledsoe,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1146,LAR and RAR show Horford (BOS) firms up in Bledsoe's (MIL) path and he does not deliver contact when it occurs.,0021800870
Q4,01:17.3,Foul: Shooting,Eric Bledsoe,Kyrie Irving,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1147,Bledsoe (MIL) legally contests Irving's (BOS) shot attempt.,0021800870
Q4,01:15.5,Foul: Loose Ball,Khris Middleton,Al Horford,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1148,Middleton (MIL) legally boxes out Horford (BOS) underneath the rim during the rebound.,0021800870
Q4,01:13,Foul: Personal,Jayson Tatum,Khris Middleton,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1149,Tatum (BOS) maintains a legal guarding position in Middleton's (MIL) path and the contact is incidental.,0021800870
Q4,01:08.1,Turnover: Traveling,Giannis Antetokounmpo,Celtics, ,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1150,[Observable in enhanced video] Antetokounmpo (MIL) moves his pivot foot after his gather.,0021800870
Q4,01:07.8,Foul: Shooting,Al Horford,Giannis Antetokounmpo,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1151,Horford (BOS) makes contact to Antetokounmpo's (MIL) arm during his shooting motion prior to making any contact with the ball.,0021800870
Q4,01:07.0,Turnover: 10 Second Violation,Giannis Antetokounmpo,Celtics, ,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1152,[Detectable with stop watch] Antetokounmpo (MIL) takes longer than 10 seconds to release his free throw.,0021800870
Q4,00:45.4,Foul: Offensive,Brook Lopez,Al Horford,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1153,Lopez (MIL) is already in Horford's (BOS) path when contact occurs and he does not deliver any contact with his arms.,0021800870
Q4,00:39.9,Foul: Personal,Marcus Morris,Giannis Antetokounmpo,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1154,RAR shows Morris (BOS) maintains legal guarding position and cleanly deflects the ball away from Antetokounmpo (MIL).,0021800870
Q4,00:34.0,Foul: Shooting,Al Horford,Khris Middleton,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1155,"Horford (BOS) legally contests Middleton's (MIL) jump shot attempt.  Any 'high-five"" contact after the release is considered incidental.",0021800870
Q4,00:08.1,Turnover: Traveling,Giannis Antetokounmpo,Celtics, ,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1156,"[Observable in enhanced video] Prior to the held ball, Antetokounmpo (MIL) slides his pivot foot.",0021800870
Q4,00:04.7,Foul: Personal,Marcus Smart,Giannis Antetokounmpo,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1157,Smart (BOS) gets both hands on the ball while Antetokounmpo (MIL) has possession and a held ball is called.,0021800870
Q4,00:03.7,Turnover: 24 Second Violation,Bucks,Celtics, ,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1158,"[Observable in enhanced video] At the time of the jump ball, there are 0.2 seconds remaining on the shot clock.  Antetokounmpo (MIL) tips the ball to Lopez (MIL), who does not control the ball and attempts a tip-in with two hands.  By rule, the only type of field goal he can attempt is a tip-in since there are fewer than 0.3 seconds remaining on the shot clock and a 24-second violation should not have been called.",0021800870
Q4,00:03.5,Foul: Offensive,Kyrie Irving,Khris Middleton,INC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1159,"Irving (BOS) is not established in a screening position in Middleton's (MIL) path and he moves laterally into him, affecting his ability to defend the play.",0021800870
Q4,00:03.5,Turnover: 5 Second Violation,Marcus Smart,Bucks,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1159,Smart (BOS) inbounds the ball within five seconds.,0021800870
Q4,00:03.5,Foul: Away from Play,Khris Middleton,Marcus Morris,INC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1159,"Following the contact from the screen by Irving (BOS), Middleton (MIL) grabs Morris (BOS) and affects his FOM.",0021800870
Q4,00:01.8,Foul: Shooting,Giannis Antetokounmpo,Kyrie Irving, ,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1160,"[Observable in enhanced video] Antetokounmpo (MIL) extends his leg and makes contact with Irving's (BOS) leg, affecting his SQBR on his drive to the basket.",0021800870
Q4,00:01.0,Foul: Shooting,Eric Bledsoe,Kyrie Irving,INC,http://official.nba.com/last-two-minute-report/?gameNo=0021800870&eventNum=1161,Bledsoe (MIL) moves A to B into Irving (BOS) and affects his driving shot attempt.,0021800870
Q4,01:55.5,Foul: Personal,Andre Iguodala,De'Aaron Fox,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1139,Iguodala (GSW) makes contact to the arm of Fox (SAC) during the drive and affects Fox's SQBR.,0021800871
Q4,01:48.0,Foul: Offensive,Draymond Green,De'Aaron Fox,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1140,Green (GSW) establishes himself in a picking position in the path of Fox (SAC) and absorbs the contact.,0021800871
Q4,01:35.5,Turnover: 3 Second Violation,Marvin Bagley III,Warriors,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1141,Bagley III (SAC) is imminently exiting the lane within three seconds.,0021800871
Q4,01:27.1,Foul: Defense 3 Second,Kevin Durant,Kings,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1142,Durant (GSW) is in the paint for less than three seconds when he is imminently actively guarding an opponent.,0021800871
Q4,01:19.4,Foul: Offensive,Draymond Green,De'Aaron Fox,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1143,"Green (GSW) establishes himself in a picking position in the path of Fox (SAC) and some contact occurs to his arms, but the contact is marginal.",0021800871
Q4,01:17.0,Foul: Personal,De'Aaron Fox,Stephen Curry,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1144,Fox (SAC) makes marginal contact with Curry (GSW) off ball that does not affect his ability to get to the pass.,0021800871
Q4,01:14.8,Foul: Shooting,Bogdan Bogdanovic,Stephen Curry,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1145,Bogdanovic (SAC) makes marginal contact to the body of Curry (GSW) during his shooting motion before Fox (SAC) cleanly blocks his driving shot attempt.,0021800871
Q4,01:00.7,Foul: Shooting,Draymond Green,Marvin Bagley III,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1146,"Green (GSW) makes contact to the arm of Bagley III (SAC) before making contact with the ball during his shooting motion, and the contact affects Bagley III's driving shot attempt.",0021800871
Q4,01:00.7,Foul: Technical,Draymond Green,Kings,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1146,All technical fouls are reviewed by League Operations.,0021800871
Q4,00:54.0,Foul: Offensive,Draymond Green,De'Aaron Fox,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1147,Green (GSW) sets the pick in the path of Fox (SAC) and gives him room to avoid the contact.,0021800871
Q4,00:35.7,Foul: Loose Ball,Draymond Green,Marvin Bagley III,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1148,"LAR shows Green (GSW) briefly makes contact with Bagley III (SAC) during rebounding, but does not prevent him from getting to the ball.",0021800871
Q4,00:32.2,Turnover: Lost Ball Out of Bounds,Buddy Hield,Kevin Durant,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1149,Durant (GSW) cleanly dislodges the ball from Hield (SAC) and the ball goes out of bounds off of Hield's leg.,0021800871
Q4,00:25.5,Foul: Personal,Buddy Hield,Draymond Green,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1150,Hield (SAC) commits a take foul on Green (GSW).,0021800871
Q4,00:19.8,Foul: Shooting,Kevin Durant,Buddy Hield,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1151,"Durant (GSW) makes incidental ""high-five"" contact with Hield (SAC) after the release that does not affect his jump shot attempt.",0021800871
Q4,00:17.4,Foul: Personal,Harrison Barnes,Stephen Curry,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1152,Barnes (SAC) commits a take foul on Curry (GSW).,0021800871
Q4,00:14.6,Foul: Offensive,Harrison Barnes,Stephen Curry,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1153,Barnes (SAC) briefly grasps Curry (GSW) around the waist but does not prevent him from disengaging from the pick.,0021800871
Q4,00:09.0,Foul: Loose Ball,Harrison Barnes,Stephen Curry,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1154,Barnes (SAC) and Curry (GSW) make incidental contact with each other attempting to get to the loose ball.,0021800871
Q4,00:07.5,Foul: Personal,Marvin Bagley III,Andre Iguodala,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1155,Bagley III (SAC) commits a take foul on Iguodala (GSW).,0021800871
Q4,00:07.4,Foul: Loose Ball,Draymond Green,Marvin Bagley III,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1156,Green (GSW) briefly grasps Bagley III (SAC) but does not prevent him from getting to the rebound.,0021800871
Q4,00:06.5,Foul: Offensive,Bogdan Bogdanovic,Draymond Green,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1157,"Bogdanovic (SAC) briefly grasps Green (GSW) during the inbound, but allows him to disengage.",0021800871
Q4,00:02.8,Foul: Shooting,Klay Thompson,Buddy Hield,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800871&eventNum=1158,Thompson (GSW) legally contests the jump shot attempt by Hield (SAC).,0021800871
Q4,01:59.1,Foul: Offensive,Clint Capela,Reggie Bullock,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1080,Capela (HOU) makes marginal contact with Bullock (LAL) as he disengages from the pick.,0021800872
Q4,01:36.0,Foul: Offensive,Brandon Ingram,Chris Paul,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1081,Ingram (LAL) is already in Paul's (HOU) path when contact occurs and he gives him room to avoid the contact.,0021800872
Q4,01:24.8,Foul: Offensive,James Harden,LeBron James,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1082,James (LAL) establishes himself in a legal guarding position outside of the restricted area and Harden (HOU) drives through and dislodges him.,0021800872
Q4,01:09.1,Foul: Offensive,Brandon Ingram,PJ Tucker,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1083,Ingram (LAL) establishes himself in a picking position in the path of Tucker (HOU) and he absorbs the contact.,0021800872
Q4,00:55.9,Foul: Shooting,Josh Hart,Chris Paul,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1084,"LLS shows Hart (LAL) makes slight contact with Paul's (HOU) head during his shot attempt near the rim.   Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",0021800872
Q4,00:55.2,Foul: Offensive,LeBron James,Austin Rivers,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1085,"James (LAL) inadvertently makes contact with Rivers' (HOU) head.  Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",0021800872
Q4,00:44.4,Turnover: Traveling,Brandon Ingram,Rockets,INC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1086,Ingram (LAL) moves his foot heel-to-toe to create space.  The official is looking for any potential illegal contact and does not pick-up the pivot foot.,0021800872
Q4,00:33.3,Foul: Technical,Rockets,Lakers,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1087,All technical fouls are reviewed by League Operations.,0021800872
Q4,00:33.3,Foul: Technical,Chris Paul,Lakers,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1087,All technical fouls are reviewed by League Operations.,0021800872
Q4,00:33.3,Foul: Shooting,Chris Paul,Brandon Ingram,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1088,Paul (HOU) makes contact to the wrist of Ingram (LAL) during his shooting motion that affects his driving shot attempt.,0021800872
Q4,00:31.6,Foul: Offensive,Clint Capela,Brandon Ingram,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1089,"Capela (HOU) establishes himself in a picking position in the path of Ingram (LAL) and has his arms extended, but the contact is marginal when he disengages from the pick.",0021800872
Q4,00:21.3,Foul: Personal,Chris Paul,Kyle Kuzma,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021800872&eventNum=1090,Paul (HOU) commits a take foul on Kuzma (LAL).,0021800872
Q4,01:50.5,Foul: Offensive,Nikola Vucevic,Otto Porter Jr.,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1001,Vucevic (ORL) sets the screen and makes marginal contact to Porter Jr.'s (CHI) body that does not affect his ability to defend the play.,0021800875
Q4,01:46.5,Foul: Shooting,Otto Porter Jr.,Evan Fournier,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1002,Porter Jr. (CHI) maintains a legal guarding position during the driving shot attempt by Fournier (ORL).,0021800875
Q4,01:37.6,Turnover: Traveling,Zach LaVine,Magic, ,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1003,[Observable in enhanced video] LaVine (CHI) splits his feet on the perimeter.,0021800875
Q4,01:34.8,Foul: Offensive,Robin Lopez,Evan Fournier,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1004,Lopez (CHI) establishes himself in a screening position in the path of Fournier (ORL) and absorbs the contact.,0021800875
Q4,01:19.8,Foul: Offensive,Nikola Vucevic,Otto Porter Jr.,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1005,Vucevic (ORL) sets the screen on Porter Jr. (CHI) and gives him room to avoid the contact.,0021800875
Q4,01:16.8,Foul: Loose Ball,Robin Lopez,Nikola Vucevic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1006,Lopez (CHI) briefly grasps Vucevic's (ORL) arm but does not affect his ability to get to the rebound.,0021800875
Q4,01:05.5,Foul: Offensive,Otto Porter Jr.,Terrence Ross,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021800875&eventNum=1007,Porter Jr. (CHI) and Ross (ORL) briefly engage and disengage on the perimeter.,0021800875
